,importance
vib_env_env_BPFI_1x,0.07712539828648486
vib_env_ratio_BPFO_BPFI_sum,0.058330848496759395
vib_td_mean,0.05068595332511498
vib_env_ratio_BPFO_BPFI_2x,0.04738360348477725
vib_wpd_energy_ratio_0,0.03604497023183971
vib_fd_peak_amplitude,0.02931621100979311
vib_env_env_BPFI_2x,0.02841820514129087
vib_wpd_energy_band_7,0.02407955578041312
vib_fd_spectral_centroid,0.021552251159567683
vib_wpd_energy_ratio_6,0.021497912939103733
vib_wpd_energy_ratio_7,0.020683037697260147
vib_wpd_entropy,0.018079166073052804
c2_fd_energy_2000_8000Hz,0.017871716117512072
c2_wpd_energy_band_6,0.017653483543618304
vib_wpd_energy_ratio_4,0.017254943733068046
vib_env_ratio_BPFO_BPFI_1x,0.01690691455459188
c2_wpd_energy_band_1,0.016097943646713932
vib_wpd_energy_band_4,0.015531294438926441
vib_wpd_energy_ratio_5,0.015472443841971132
vib_wpd_energy_ratio_3,0.014778095279353603
c1_wpd_energy_band_2,0.014381331658948646
c2_wpd_energy_band_2,0.0143719587680439
c1_wpd_energy_band_5,0.014098446166153309
vib_td_clearance_factor,0.013976383633064953
vib_env_env_shaft_freq_3x,0.013975631943713767
vib_env_env_shaft_freq_1x,0.013511999246631108
vib_fd_spectral_kurtosis,0.01191462611278464
c2_wpd_energy_band_5,0.011425969531743952
vib_fd_spectral_variance,0.011336645102875006
vib_env_ratio_BPFO_BPFI_3x,0.01125717669429234
vib_env_env_BPFO_1x,0.010776428957778765
vib_td_kurtosis,0.009816823238026823
c1_fd_energy_2000_8000Hz,0.009314446579103864
vib_td_shape_factor,0.00899662159005633
vib_fd_spectral_std,0.008697875886061768
vib_td_entropy,0.008220796825616274
vib_wpd_energy_ratio_1,0.007939644158138309
c1_wpd_energy_band_1,0.007842370836309356
c1_td_mean,0.007547374568234868
vib_fd_peak_frequency,0.007354810106861977
vib_fd_energy_2000_8000Hz,0.006905574929737708
c1_wpd_energy_band_6,0.006706428069405548
vib_wpd_energy_band_6,0.006611709310705359
vib_env_env_BPFI_3x,0.006538381023462008
vib_td_impulse_factor,0.0062342639424213
c1_fd_energy_8000_16000Hz,0.006221115048144786
vib_wpd_energy_band_0,0.00593855710021355
vib_env_env_BPFO_3x,0.005544830473983333
c2_fd_energy_8000_16000Hz,0.005370891075874953
vib_wpd_energy_band_1,0.005197184668045366
c2_wpd_energy_band_3,0.0051746627002982794
vib_env_env_FTF_3x,0.004471368268850784
c1_wpd_energy_band_3,0.004429686001623888
vib_wpd_energy_band_5,0.004300934439546707
vib_wpd_energy_band_3,0.004206249938471652
