,importance
vib_env_env_BPFI_1x,0.060995929644301866
vib_env_ratio_BPFO_BPFI_sum,0.05878448817638594
vib_wpd_energy_ratio_5,0.037667437684374444
vib_env_ratio_BPFO_BPFI_2x,0.03399665028452772
vib_wpd_energy_ratio_4,0.031497560421490094
vib_wpd_energy_ratio_3,0.029264028493911194
vib_wpd_energy_ratio_6,0.0282621833560459
vib_wpd_energy_ratio_7,0.027538375938362433
vib_td_mean,0.027153864944288893
vib_fd_spectral_centroid,0.022878405378007057
vib_env_env_BPFI_2x,0.022745253136780625
vib_wpd_energy_band_7,0.02075603225698467
vib_wpd_entropy,0.0207064313972654
vib_env_ratio_BPFO_BPFI_1x,0.01694183038762471
vib_fd_spectral_std,0.016938191775256732
vib_fd_peak_amplitude,0.01691095668784197
vib_wpd_energy_ratio_0,0.015608498102060855
vib_fd_spectral_kurtosis,0.01484700559380009
vib_env_ratio_BPFO_BPFI_3x,0.014459643942380423
vib_wpd_energy_band_4,0.014133968573048564
c2_wpd_energy_ratio_6,0.012890876381421123
vib_env_env_shaft_freq_1x,0.012554442376229628
vib_td_clearance_factor,0.012391390002752306
c2_wpd_energy_band_5,0.012371338479934735
c2_wpd_energy_ratio_7,0.01210996121754818
c2_fd_energy_2000_8000Hz,0.011659442588904041
vib_fd_spectral_variance,0.011562598402062259
c2_wpd_energy_ratio_5,0.01153164734355336
c2_wpd_energy_band_2,0.010713799851137734
c2_wpd_energy_band_7,0.01022085457789657
vib_env_env_BPFI_3x,0.009262442980662347
c2_wpd_energy_ratio_1,0.00887442005126693
vib_td_std,0.00850643809199038
c1_wpd_energy_band_7,0.008370045627338557
c2_wpd_energy_ratio_2,0.008007840481966339
c2_wpd_energy_band_1,0.007960551713507884
vib_td_entropy,0.007894780521617559
c2_fd_spectral_skewness,0.007888516510379891
vib_wpd_energy_ratio_1,0.007820630892395168
c1_td_mean,0.007415191197450107
c2_fd_spectral_std,0.007215734563451559
c2_wpd_entropy,0.007172100193286041
c1_fd_energy_2000_8000Hz,0.007098200366022265
c2_fd_spectral_variance,0.00705692762040685
vib_td_rms,0.006907376957186066
c2_fd_energy_8000_16000Hz,0.0067126286403926625
vib_td_shape_factor,0.00663987925445276
vib_env_env_BPFO_1x,0.006549785733928501
c1_wpd_energy_band_2,0.00650455471915094
c2_fd_spectral_kurtosis,0.006383028803799023
c1_fd_energy_8000_16000Hz,0.00629489281277833
c2_wpd_energy_band_6,0.005948990685892759
c1_wpd_energy_band_6,0.0057408518794906755
c2_wpd_energy_ratio_0,0.005666166059657299
vib_fd_peak_frequency,0.005502961221882708
vib_fd_spectral_skewness,0.005383527535504715
c1_wpd_energy_band_1,0.0053622852445869
vib_td_energy,0.005306659179798052
c2_fd_spectral_centroid,0.005137464140116735
c1_wpd_energy_band_3,0.005016103993066701
vib_fd_energy_2000_8000Hz,0.004884194707521911
c1_wpd_energy_ratio_2,0.00474480042415169
c1_wpd_energy_band_4,0.004691647146874602
vib_env_env_shaft_freq_3x,0.004647522618846994
c1_fd_spectral_kurtosis,0.004599264960015786
vib_wpd_energy_band_1,0.004545105911054205
c2_td_mean,0.00426672749871822
c2_wpd_energy_band_4,0.004109027536060207
c1_fd_spectral_std,0.00393845730215001
c1_wpd_energy_ratio_6,0.00391017245123472
c1_wpd_energy_band_5,0.0037046371410311973
vib_fd_total_spectral_energy,0.003569502973454905
vib_env_env_BPFO_3x,0.003531452241212618
c1_td_peak_to_peak,0.0034275785755670347
c1_wpd_energy_ratio_0,0.003382392236103009
vib_fd_energy_500_2000Hz,0.0031953400962818393
vib_td_kurtosis,0.0030607917497383137
