test_setting,target_fraction,n_adapt_approx,accuracy,f1_macro
N09_M07_F10,0.0,0,0.47333333333333333,0.3351981351981351
N09_M07_F10,0.1,15,0.576,0.5421711037500512
N09_M07_F10,0.2,30,0.6083333333333333,0.5580517727886148
N09_M07_F10,0.5,75,0.5333333333333334,0.5446542346542346
N09_M07_F10,0.8,120,0.6,0.5323809523809524
N15_M01_F10,0.0,0,0.49333333333333335,0.41005041671708337
N15_M01_F10,0.1,15,0.8,0.7683477633477633
N15_M01_F10,0.2,30,0.8166666666666668,0.7852592592592593
N15_M01_F10,0.5,75,0.8133333333333332,0.8007977207977207
N15_M01_F10,0.8,120,0.8,0.7555555555555555
N15_M07_F04,0.0,0,0.8866666666666667,0.8779710144927536
N15_M07_F04,0.1,15,0.8160000000000001,0.8034996955901519
N15_M07_F04,0.2,30,0.8416666666666666,0.829257670434141
N15_M07_F04,0.5,75,0.7466666666666667,0.7485185185185185
N15_M07_F04,0.8,120,0.8333333333333333,0.8377777777777778
N15_M07_F10,0.0,0,0.8133333333333332,0.7852162131375466
N15_M07_F10,0.1,15,0.8400000000000001,0.8067486967796565
N15_M07_F10,0.2,30,0.8083333333333332,0.7517575757575757
N15_M07_F10,0.5,75,0.76,0.7544444444444445
N15_M07_F10,0.8,120,0.7333333333333333,0.7345238095238095
